title,task_normalized,dwa_title,iwa_title,gwa_title,task,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,freq_mean,importance,relevance,physical,a_med_nat_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,auto_aug_mean,pct_normalized,date
"Laborers and Freight, Stock, and Material Movers, Hand",stack cargo in locations such as transit sheds or in holds of ships as directed using pallets or cargo boards,"Load shipments, belongings, or materials.","Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities,"Stack cargo in locations such as transit sheds or in holds of ships as directed, using pallets or cargo boards.",laborers and freight stock and material movers hand,53-7062.00,Laborers and Material Movers,Material Moving Workers,Transportation and Material Moving Occupations,2.117555705128205,3.8683333333333336,54.51333333333333,False,38940.0,39570.0,2982530.0,29750.0,3.03564433331045,0.002013277131012712,2025-03-06
Biologists,collect and analyze biological data about relationships among and between organisms and their environment,Collect environmental data or samples.,Collect environmental or biological samples.,Handling and Moving Objects,Collect and analyze biological data about relationships among and between organisms and their environment.,biologists,19-1020.01,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",0.4890407692307692,3.89,67.94,True,93330.0,89860.0,14927.5,510.0,1.8676904640148408,0.0011357383322284492,2025-03-06
Biochemists and Biophysicists,study the chemistry of living processes such as cell development breathing and digestion or living energy changes such as growth aging or death,Research microbiological or chemical processes or structures.,Research biological or ecological phenomena.,Getting Information,"Study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death.",biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",0.9134615384615384,3.88,84.21,True,103650.0,78260.0,34520.0,370.0,1.0,0.002604618981985567,2025-03-06
Biochemists and Biophysicists,research how characteristics of plants or animals are carried through successive generations,Research genetic characteristics or expression.,Research biological or ecological phenomena.,Getting Information,Research how characteristics of plants or animals are carried through successive generations.,biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",0.8816265384615384,3.29,70.0,True,103650.0,78260.0,34520.0,370.0,1.6818181818181817,0.00870143531360465,2025-03-06
Biochemists and Biophysicists,share research findings by writing scientific articles or by making presentations at scientific conferences,Prepare scientific or technical reports or presentations.,Present research or technical information.,Documenting/Recording Information,Share research findings by writing scientific articles or by making presentations at scientific conferences.,biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",0.7501923076923077,4.7,100.0,False,103650.0,78260.0,34520.0,370.0,1.0,0.0008518037491713483,2025-03-06
Biochemists and Biophysicists,teach or advise undergraduate or graduate students or supervise their research,Instruct college students in physical or life sciences.,Teach academic or vocational subjects.,Training and Teaching Others,Teach or advise undergraduate or graduate students or supervise their research.,biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",2.152577692307692,4.53,95.0,False,103650.0,78260.0,34520.0,370.0,1.604368932038835,0.02972202097964203,2025-03-06
Biochemists and Biophysicists,prepare reports or recommendations based upon research outcomes,Prepare scientific or technical reports or presentations.,Present research or technical information.,Documenting/Recording Information,"Prepare reports or recommendations, based upon research outcomes.",biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",0.6913461538461538,4.05,100.0,False,103650.0,78260.0,34520.0,370.0,3.12751677852349,0.04852547549425619,2025-03-06
Biochemists and Biophysicists,research the chemical effects of substances such as drugs serums hormones or food on tissues or vital processes,Research microbiological or chemical processes or structures.,Research biological or ecological phenomena.,Getting Information,"Research the chemical effects of substances, such as drugs, serums, hormones, or food, on tissues or vital processes.",biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",1.3129807692307691,3.69,80.0,True,103650.0,78260.0,34520.0,370.0,1.0,0.008960388968633666,2025-03-06
Biochemists and Biophysicists,study physical principles of living cells or organisms and their electrical or mechanical energy applying methods and knowledge of mathematics physics chemistry or biology,Research microbiological or chemical processes or structures.,Research biological or ecological phenomena.,Getting Information,"Study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology.",biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",2.0209615384615383,4.45,100.0,False,103650.0,78260.0,34520.0,370.0,1.0,0.0042501103593705234,2025-03-06
Biochemists and Biophysicists,study the mutations in organisms that lead to cancer or other diseases,Research diseases or parasites.,Research biological or ecological phenomena.,Getting Information,Study the mutations in organisms that lead to cancer or other diseases.,biochemists and biophysicists,19-1021.00,Biological Scientists,Life Scientists,"Life, Physical, and Social Science Occupations",1.23088,3.71,85.0,True,103650.0,78260.0,34520.0,370.0,1.8869565217391304,0.009375497152771051,2025-03-06
