title,task_normalized,dwa_title,iwa_title,gwa_title,task,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,freq_mean,importance,relevance,physical,a_med_nat_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,auto_aug_mean,pct_normalized,date
Training and Development Managers,train instructors and supervisors in techniques and skills for training and dealing with employees,Conduct employee training programs.,Train others on operational or work procedures.,Training and Teaching Others,Train instructors and supervisors in techniques and skills for training and dealing with employees.,training and development managers,11-3131.00,Training and Development Managers,Operations Specialties Managers,Management Occupations,0.2549142307692308,4.15,96.43,False,127090.0,109980.0,44960.0,500.0,5.0,0.0017822301389811461,2025-11-13
Environmental Economists,write technical documents or academic articles to communicate study results or economic forecasts,"Forecast economic, political, or social trends.",Analyze market or industry conditions.,Analyzing Data or Information,Write technical documents or academic articles to communicate study results or economic forecasts.,environmental economists,19-3011.01,Economists,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations",0.5873742307692309,4.48,100.0,False,115440.0,115440.0,5625.0,50.0,5.0,0.006908197058027174,2025-11-13
Economists,provide advice and consultation on economic relationships to businesses public and private agencies and other employers,Advise others on business or operational matters.,Advise others on business or operational matters.,Provide Consultation and Advice to Others,"Provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.",economists,19-3011.00,Economists,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations",0.6603834615384615,3.96,100.0,False,115440.0,115440.0,10255.0,90.0,5.0,0.00829771283518602,2025-11-13
Economists,conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals,Prepare scientific or technical reports or presentations.,Present research or technical information.,Documenting/Recording Information,Conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals.,economists,19-3011.00,Economists,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations",0.871235,3.83,95.83,False,115440.0,115440.0,10255.0,90.0,5.0,0.0029342131323107992,2025-11-13
Economists,compile analyze and report data to explain economic phenomena and forecast market trends applying mathematical models and statistical techniques,"Forecast economic, political, or social trends.",Analyze market or industry conditions.,Analyzing Data or Information,"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.",economists,19-3011.00,Economists,Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations",1.1254000000000002,4.25,100.0,False,115440.0,115440.0,10255.0,90.0,5.0,0.011509151033399844,2025-11-13
Remote Sensing Scientists and Technologists,compile and format image data to increase its usefulness,Create images or other visual displays.,Create visual designs or displays.,Thinking Creatively,Compile and format image data to increase its usefulness.,remote sensing scientists and technologists,19-2099.01,Miscellaneous Physical Scientists,Physical Scientists,"Life, Physical, and Social Science Occupations",1.576,4.33,100.0,False,117960.0,106850.0,22580.0,120.0,5.0,0.07291588699010546,2025-11-13
Remote Sensing Scientists and Technologists,organize and maintain geospatial data and associated documentation,Record research or operational data.,Maintain operational records.,Documenting/Recording Information,Organize and maintain geospatial data and associated documentation.,remote sensing scientists and technologists,19-2099.01,Miscellaneous Physical Scientists,Physical Scientists,"Life, Physical, and Social Science Occupations",2.236923076923077,4.42,100.0,False,117960.0,106850.0,22580.0,120.0,5.0,0.00419634597161153,2025-11-13
Hydrologists,review applications for site plans and permits and recommend approval denial modification or further investigative action,"Review environmental permits, plans, or reports.",Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards,"Review applications for site plans and permits and recommend approval, denial, modification, or further investigative action.",hydrologists,19-2043.00,Environmental Scientists and Geoscientists,Physical Scientists,"Life, Physical, and Social Science Occupations",0.0721557692307692,3.35,73.91,False,92060.0,89310.0,5720.0,100.0,5.0,0.0017543748230217883,2025-11-13
Hydrologists,prepare written and oral reports describing research results using illustrations maps appendices and other information,Prepare scientific or technical reports or presentations.,Present research or technical information.,Documenting/Recording Information,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",hydrologists,19-2043.00,Environmental Scientists and Geoscientists,Physical Scientists,"Life, Physical, and Social Science Occupations",0.5521303846153846,4.43,100.0,False,92060.0,89310.0,5720.0,100.0,5.0,0.022279543623174865,2025-11-13
"Geoscientists, Except Hydrologists and Geographers",develop applied software for the analysis and interpretation of geological data,Develop software or applications for scientific or technical use.,Design computer or information systems or applications.,Thinking Creatively,Develop applied software for the analysis and interpretation of geological data.,geoscientists except hydrologists and geographers,19-2042.00,Environmental Scientists and Geoscientists,Physical Scientists,"Life, Physical, and Social Science Occupations",0.1164423076923076,2.84,59.38,False,99240.0,104000.0,22510.0,340.0,4.910006399756591,0.001973883578877213,2025-11-13
