category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Food Preparation Workers,35.77,317926.91,10879458743.85,AEI Both + Micro 2026-02-12,broad,38.18,339344.42,11612365948.67,All 2026-02-18,broad,2.41,21417.51,732907204.83
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,broad,16.84,21350.61,1243886562.85,All 2026-02-18,broad,16.84,21350.61,1243886562.85
"Arts, Communications, History, and Humanities Teachers, Postsecondary",74.40,183111.32,14486142464.93,AEI Both + Micro 2026-02-12,broad,83.01,204079.89,16140661846.84,All 2026-02-18,broad,8.61,20968.57,1654519381.92
Public Relations Specialists,83.21,233478.07,16292099523.99,AEI Both + Micro 2026-02-12,broad,90.67,254407.75,17752573013.38,All 2026-02-18,broad,7.46,20929.69,1460473489.39
"Property, Real Estate, and Community Association Managers",61.50,182443.82,12169002476.95,AEI Both + Micro 2026-02-12,broad,68.54,203326.00,13561844215.74,All 2026-02-18,broad,7.04,20882.18,1392841738.79
"Compensation, Benefits, and Job Analysis Specialists",33.65,34446.36,2653058401.21,AEI Both + Micro 2026-02-12,broad,53.21,54471.95,4195429413.87,All 2026-02-18,broad,19.56,20025.59,1542371012.66
Architectural and Engineering Managers,36.79,107491.29,18030588833.12,AEI Both + Micro 2026-02-12,broad,44.77,127313.21,21355518492.46,All 2026-02-18,broad,7.99,19821.92,3324929659.34
Civil Engineers,44.94,157101.87,15645775696.16,AEI Both + Micro 2026-02-12,broad,50.26,176608.28,17588418898.00,All 2026-02-18,broad,5.32,19506.41,1942643201.84
Librarians and Media Collections Specialists,40.40,53255.85,3425416464.81,AEI Both + Micro 2026-02-12,broad,55.13,72679.71,4674758880.95,All 2026-02-18,broad,14.73,19423.86,1249342416.14
"Eligibility Interviewers, Government Programs",55.87,87306.18,4496268439.09,AEI Both + Micro 2026-02-12,broad,68.18,106540.00,5486809865.37,All 2026-02-18,broad,12.31,19233.81,990541426.28
Chief Executives,44.87,100059.46,20654273019.43,AEI Both + Micro 2026-02-12,broad,52.68,118854.84,24534015362.59,All 2026-02-18,broad,7.80,18795.38,3879742343.17
"Tax Examiners, Collectors and Preparers, and Revenue Agents",43.59,62813.92,3327701497.44,AEI Both + Micro 2026-02-12,broad,60.04,81458.66,4370292672.82,All 2026-02-18,broad,16.45,18644.74,1042591175.37
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,81808.44,4960863952.04,AEI Both + Micro 2026-02-12,broad,34.68,99613.33,6040552094.08,All 2026-02-18,broad,6.20,17804.88,1079688142.04
"Surveyors, Cartographers, and Photogrammetrists",34.13,20806.81,1542124590.50,AEI Both + Micro 2026-02-12,broad,59.12,38489.39,2843404279.29,All 2026-02-18,broad,24.99,17682.58,1301279688.80
Refuse and Recyclable Material Collectors,8.35,11620.86,561868352.88,AEI Both + Micro 2026-02-12,broad,21.01,29247.35,1414109300.54,All 2026-02-18,broad,12.66,17626.49,852240947.66
Mechanical Engineers,44.01,132202.46,13526956141.94,AEI Both + Micro 2026-02-12,broad,51.16,149733.81,15320763518.39,All 2026-02-18,broad,7.15,17531.35,1793807376.45
"Ushers, Lobby Attendants, and Ticket Takers",37.60,44821.73,1396197036.92,AEI Both + Micro 2026-02-12,broad,52.29,62332.75,1941665100.76,All 2026-02-18,broad,14.69,17511.01,545468063.83
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",54.22,231608.06,7036252853.44,AEI Both + Micro 2026-02-12,broad,58.31,249060.60,7566460922.92,All 2026-02-18,broad,4.09,17452.54,530208069.47
Clinical Laboratory Technologists and Technicians,35.52,102076.90,6317539162.78,AEI Both + Micro 2026-02-12,broad,40.48,119383.08,7388618874.79,All 2026-02-18,broad,4.97,17306.18,1071079712.01
"Health Teachers, Postsecondary",66.01,220811.54,22185772837.14,AEI Both + Micro 2026-02-12,broad,70.81,237977.40,23922928987.73,All 2026-02-18,broad,4.80,17165.87,1737156150.59
"Miscellaneous First-Line Supervisors, Protective Service Workers",21.55,15150.16,887950655.91,AEI Both + Micro 2026-02-12,broad,44.92,31584.00,1851138220.87,All 2026-02-18,broad,23.37,16433.84,963187564.96
Laundry and Dry-Cleaning Workers,13.23,25837.60,873311036.19,AEI Both + Micro 2026-02-12,broad,21.62,42235.55,1427561673.27,All 2026-02-18,broad,8.39,16397.95,554250637.08
Biological Technicians,50.27,38302.56,1991733301.75,AEI Both + Micro 2026-02-12,broad,71.71,54636.49,2841097223.84,All 2026-02-18,broad,21.44,16333.92,849363922.09
Social and Community Service Managers,37.07,72461.71,5669404303.66,AEI Both + Micro 2026-02-12,broad,45.39,88736.05,6942708600.60,All 2026-02-18,broad,8.32,16274.34,1273304296.94
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",30.20,86886.71,5957233394.29,AEI Both + Micro 2026-02-12,broad,37.70,103030.90,7134332711.00,All 2026-02-18,broad,7.50,16144.20,1177099316.70
Credit Analysts,54.05,36413.65,2948413493.56,AEI Both + Micro 2026-02-12,broad,78.00,52545.78,4254631649.07,All 2026-02-18,broad,23.95,16132.12,1306218155.51
Miscellaneous Agricultural Workers,13.37,29403.95,1088407888.90,AEI Both + Micro 2026-02-12,broad,16.04,44884.41,1641223668.52,All 2026-02-18,broad,2.67,15480.46,552815779.63
Bakers,25.05,58092.67,2129096246.98,AEI Both + Micro 2026-02-12,broad,31.70,73507.79,2694060664.54,All 2026-02-18,broad,6.65,15415.13,564964417.56
Cargo and Freight Agents,51.93,50784.30,2534136421.92,AEI Both + Micro 2026-02-12,broad,67.84,66192.62,3303011639.95,All 2026-02-18,broad,15.91,15408.32,768875218.03
Medical Scientists,37.53,70908.71,7072668295.12,AEI Both + Micro 2026-02-12,broad,47.98,86258.54,8593671522.56,All 2026-02-18,broad,10.45,15349.82,1521003227.44
First-Line Supervisors of Firefighting and Prevention Workers,3.73,3496.47,323179124.39,AEI Both + Micro 2026-02-12,broad,19.81,18560.23,1715522272.98,All 2026-02-18,broad,16.08,15063.76,1392343148.58
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",14.89,69682.60,4334806726.00,AEI Both + Micro 2026-02-12,broad,17.38,84720.09,5275195050.18,All 2026-02-18,broad,2.49,15037.49,940388324.18
File Clerks,56.14,44340.80,1829944741.29,AEI Both + Micro 2026-02-12,broad,74.95,59192.34,2442867822.95,All 2026-02-18,broad,18.80,14851.54,612923081.66
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,69613.42,2274270359.90,AEI Both + Micro 2026-02-12,broad,16.11,84119.94,2748198497.42,All 2026-02-18,broad,2.78,14506.52,473928137.52
"Electrical, Electronics, and Electromechanical Assemblers",19.96,40230.74,1784612236.30,AEI Both + Micro 2026-02-12,broad,28.49,54625.94,2425444512.76,All 2026-02-18,broad,8.54,14395.20,640832276.46
"Welding, Soldering, and Brazing Workers",15.71,74151.46,3759913661.39,AEI Both + Micro 2026-02-12,broad,21.69,88024.04,4453999872.16,All 2026-02-18,broad,5.97,13872.57,694086210.77
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,16.31,47412.69,2955872568.08,AEI Both + Micro 2026-02-12,broad,23.38,61215.40,3807138152.92,All 2026-02-18,broad,7.07,13802.71,851265584.85
Computer and Information Systems Managers,77.59,501187.58,85803314020.45,AEI Both + Micro 2026-02-12,broad,79.70,514841.82,88140919092.35,All 2026-02-18,broad,2.11,13654.24,2337605071.91
Bill and Account Collectors,71.85,118573.93,5459143524.99,AEI Both + Micro 2026-02-12,broad,80.11,132199.86,6086481699.54,All 2026-02-18,broad,8.26,13625.94,627338174.55
"Library Assistants, Clerical",41.44,33179.85,1194806312.83,AEI Both + Micro 2026-02-12,broad,58.46,46805.55,1685467805.12,All 2026-02-18,broad,17.02,13625.70,490661492.28
Pharmacists,64.86,213317.14,29326840635.28,AEI Both + Micro 2026-02-12,broad,69.00,226927.11,31197939036.71,All 2026-02-18,broad,4.14,13609.97,1871098401.43
Natural Sciences Managers,42.82,43079.99,6943632374.84,AEI Both + Micro 2026-02-12,broad,55.41,56147.40,9049838646.16,All 2026-02-18,broad,12.59,13067.42,2106206271.33
Miscellaneous Postsecondary Teachers,44.81,45646.95,2946966868.57,AEI Both + Micro 2026-02-12,broad,56.43,58697.55,3770764027.17,All 2026-02-18,broad,11.62,13050.59,823797158.60
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",8.11,23313.86,961230422.48,AEI Both + Micro 2026-02-12,broad,13.36,36348.91,1499647256.87,All 2026-02-18,broad,5.25,13035.05,538416834.39
Machinists,31.89,95294.30,5350774710.71,AEI Both + Micro 2026-02-12,broad,36.25,108308.48,6081521331.29,All 2026-02-18,broad,4.36,13014.19,730746620.58
Firefighters,13.47,44738.66,2663292419.50,AEI Both + Micro 2026-02-12,broad,17.36,57665.83,3432846690.40,All 2026-02-18,broad,3.89,12927.17,769554270.90
Fundraisers,56.91,60288.98,4008614264.65,AEI Both + Micro 2026-02-12,broad,69.00,73087.38,4859580133.47,All 2026-02-18,broad,12.08,12798.40,850965868.82
"Meeting, Convention, and Event Planners",60.62,81642.44,4852826612.50,AEI Both + Micro 2026-02-12,broad,70.12,94424.74,5612606471.33,All 2026-02-18,broad,9.49,12782.30,759779858.83
"Actors, Producers, and Directors",36.54,81247.33,6613770691.54,AEI Both + Micro 2026-02-12,broad,46.47,93817.83,7662598843.35,All 2026-02-18,broad,9.92,12570.50,1048828151.81
Miscellaneous Personal Appearance Workers,23.63,54467.44,2149499862.14,AEI Both + Micro 2026-02-12,broad,27.93,66286.13,2565444564.51,All 2026-02-18,broad,4.30,11818.68,415944702.38
Environmental Scientists and Geoscientists,34.13,41890.56,3518522026.72,AEI Both + Micro 2026-02-12,broad,46.17,53670.50,4582416798.86,All 2026-02-18,broad,12.03,11779.94,1063894772.14
"Interviewers, Except Eligibility and Loan",68.81,108241.73,4744235010.96,AEI Both + Micro 2026-02-12,broad,76.14,119769.99,5249518588.53,All 2026-02-18,broad,7.33,11528.26,505283577.56
New Accounts Clerks,46.31,17611.72,820882199.36,AEI Both + Micro 2026-02-12,broad,75.46,28698.71,1337646758.08,All 2026-02-18,broad,29.15,11086.99,516764558.72
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,32297.87,1487640079.95,AEI Both + Micro 2026-02-12,broad,33.39,43354.05,1996887447.83,All 2026-02-18,broad,8.51,11056.17,509247367.88
Physical Therapist Assistants and Aides,11.70,18660.43,1085152313.90,AEI Both + Micro 2026-02-12,broad,18.82,29664.63,1713397030.10,All 2026-02-18,broad,7.12,11004.20,628244716.20
Sewing Machine Operators,11.19,12259.74,441350648.43,AEI Both + Micro 2026-02-12,broad,21.20,23232.76,836379467.39,All 2026-02-18,broad,10.01,10973.02,395028818.96
Pumping Station Operators,11.19,5075.24,329405743.95,AEI Both + Micro 2026-02-12,broad,47.18,15903.82,1061982277.19,All 2026-02-18,broad,35.99,10828.58,732576533.25
Order Clerks,62.94,52502.09,2344743386.87,AEI Both + Micro 2026-02-12,broad,75.59,63056.64,2816109387.07,All 2026-02-18,broad,12.65,10554.55,471366000.20
"Mail Clerks and Mail Machine Operators, Except Postal Service",22.21,13935.01,531620614.83,AEI Both + Micro 2026-02-12,broad,39.02,24476.69,933785775.59,All 2026-02-18,broad,16.80,10541.68,402165160.76
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",18.57,29729.18,1403124675.18,AEI Both + Micro 2026-02-12,broad,28.24,40257.92,1893820007.80,All 2026-02-18,broad,9.67,10528.74,490695332.62
Purchasing Managers,46.97,38158.94,5323553871.12,AEI Both + Micro 2026-02-12,broad,59.66,48467.08,6761642960.81,All 2026-02-18,broad,12.69,10308.14,1438089089.69
Miscellaneous Engineers,46.97,72104.62,8490319166.25,AEI Both + Micro 2026-02-12,broad,52.97,82314.38,9692518375.28,All 2026-02-18,broad,6.00,10209.76,1202199209.03
Tutors,71.38,124666.70,4997887895.20,AEI Both + Micro 2026-02-12,broad,77.21,134861.40,5406593351.54,All 2026-02-18,broad,5.84,10194.70,408705456.35
"Chemical Processing Machine Setters, Operators, and Tenders",26.74,46354.17,2514993755.46,AEI Both + Micro 2026-02-12,broad,32.29,56313.64,3059711406.03,All 2026-02-18,broad,5.54,9959.48,544717650.57
Telemarketers,83.26,55310.12,1903221198.93,AEI Both + Micro 2026-02-12,broad,98.17,65211.45,2243926053.79,All 2026-02-18,broad,14.90,9901.33,340704854.86
Surveying and Mapping Technicians,29.73,16862.21,875823086.57,AEI Both + Micro 2026-02-12,broad,46.50,26374.40,1369886155.36,All 2026-02-18,broad,16.77,9512.19,494063068.79
Financial Examiners,19.16,12040.91,1088498449.37,AEI Both + Micro 2026-02-12,broad,34.02,21377.80,1932552704.42,All 2026-02-18,broad,14.86,9336.88,844054255.05
Miscellaneous Plant and System Operators,17.99,16252.07,1384544048.62,AEI Both + Micro 2026-02-12,broad,29.47,25489.90,2143901472.21,All 2026-02-18,broad,11.48,9237.83,759357423.59
"Architects, Except Naval",57.10,79601.15,7549910093.43,AEI Both + Micro 2026-02-12,broad,63.16,88828.85,8433283587.78,All 2026-02-18,broad,6.07,9227.69,883373494.34
Parking Attendants,17.80,23964.20,829161160.85,AEI Both + Micro 2026-02-12,broad,24.40,32850.74,1136635640.40,All 2026-02-18,broad,6.60,8886.55,307474479.55
Real Estate Brokers and Sales Agents,82.00,193598.30,11617048611.46,AEI Both + Micro 2026-02-12,broad,85.18,202460.94,12117484814.87,All 2026-02-18,broad,3.17,8862.64,500436203.40
Emergency Medical Technicians and Paramedics,10.79,29559.05,1484349117.53,AEI Both + Micro 2026-02-12,broad,13.97,38412.50,1928937327.55,All 2026-02-18,broad,3.18,8853.45,444588210.02
Property Appraisers and Assessors,32.16,20173.23,1319732778.69,AEI Both + Micro 2026-02-12,broad,47.18,29008.38,1897728273.19,All 2026-02-18,broad,15.02,8835.15,577995494.50
Cutting Workers,14.35,8659.39,390403604.72,AEI Both + Micro 2026-02-12,broad,28.22,17490.74,789769915.94,All 2026-02-18,broad,13.87,8831.35,399366311.23
"Woodworking Machine Setters, Operators, and Tenders",25.36,26701.74,1073986687.80,AEI Both + Micro 2026-02-12,broad,33.87,35441.01,1425124263.88,All 2026-02-18,broad,8.50,8739.27,351137576.07
Travel Agents,71.20,42117.17,2040577111.31,AEI Both + Micro 2026-02-12,broad,85.62,50646.14,2453805380.82,All 2026-02-18,broad,14.42,8528.96,413228269.50
Residential Advisors,42.88,35510.55,1391303175.39,AEI Both + Micro 2026-02-12,broad,52.60,43553.93,1706442928.94,All 2026-02-18,broad,9.71,8043.38,315139753.55
Transportation Service Attendants,16.76,21570.20,777750793.06,AEI Both + Micro 2026-02-12,broad,22.42,29358.47,1053463684.81,All 2026-02-18,broad,5.66,7788.27,275712891.75
"Computer, Automated Teller, and Office Machine Repairers",48.83,35653.63,1670728998.72,AEI Both + Micro 2026-02-12,broad,59.39,43362.00,2031943235.07,All 2026-02-18,broad,10.56,7708.37,361214236.35
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",32.67,16243.61,741520907.91,AEI Both + Micro 2026-02-12,broad,48.16,23947.12,1093185803.41,All 2026-02-18,broad,15.49,7703.50,351664895.49
"Models, Demonstrators, and Product Promoters",57.18,40201.37,1682487662.97,AEI Both + Micro 2026-02-12,broad,66.89,47861.74,1977740763.50,All 2026-02-18,broad,9.70,7660.37,295253100.53
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,10650.94,480676702.00,AEI Both + Micro 2026-02-12,broad,31.94,18306.51,826172775.25,All 2026-02-18,broad,13.36,7655.57,345496073.25
Instructional Coordinators,49.99,105405.62,7875908194.94,AEI Both + Micro 2026-02-12,broad,53.52,112856.95,8432671113.95,All 2026-02-18,broad,3.53,7451.32,556762919.01
"Musicians, Singers, and Related Workers",25.48,10054.68,773560787.90,AEI Both + Micro 2026-02-12,broad,39.55,17372.49,1379392069.25,All 2026-02-18,broad,14.07,7317.81,605831281.34
"Human Resources Assistants, Except Payroll and Timekeeping",82.15,76056.39,3760227791.07,AEI Both + Micro 2026-02-12,broad,89.79,83132.02,4110047310.58,All 2026-02-18,broad,7.64,7075.64,349819519.51
"Television, Video, and Film Camera Operators and Editors",57.11,27537.74,1939961669.20,AEI Both + Micro 2026-02-12,broad,68.87,34569.98,2428762727.19,All 2026-02-18,broad,11.75,7032.23,488801057.98
Detectives and Criminal Investigators,50.31,66236.55,6198416090.65,AEI Both + Micro 2026-02-12,broad,59.09,73200.97,6850147208.45,All 2026-02-18,broad,8.78,6964.43,651731117.80
Construction Laborers,11.96,126495.77,5911147361.81,AEI Both + Micro 2026-02-12,broad,12.60,133293.78,6228818238.19,All 2026-02-18,broad,0.64,6798.01,317670876.39
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",20.40,19933.92,947968378.14,AEI Both + Micro 2026-02-12,broad,28.50,26699.59,1270980754.10,All 2026-02-18,broad,8.11,6765.66,323012375.95
Library Technicians,58.86,43422.30,1735589411.37,AEI Both + Micro 2026-02-12,broad,68.01,50168.20,2005222805.37,All 2026-02-18,broad,9.14,6745.89,269633394.00
"Baggage Porters, Bellhops, and Concierges",42.98,38066.57,1408981117.18,AEI Both + Micro 2026-02-12,broad,51.61,44727.64,1654233938.73,All 2026-02-18,broad,8.62,6661.07,245252821.55
Writers and Editors,68.83,148719.42,11852281697.39,AEI Both + Micro 2026-02-12,broad,74.09,155206.11,12339069378.96,All 2026-02-18,broad,5.26,6486.69,486787681.57
Painting Workers,14.17,24061.24,1137439902.28,AEI Both + Micro 2026-02-12,broad,17.31,30423.06,1440198731.61,All 2026-02-18,broad,3.14,6361.82,302758829.33
Air Traffic Controllers and Airfield Operations Specialists,30.46,11819.75,1283533423.91,AEI Both + Micro 2026-02-12,broad,46.86,18090.13,1988304332.90,All 2026-02-18,broad,16.41,6270.38,704770908.98
"Math and Computer Science Teachers, Postsecondary",74.50,61930.08,5411587845.72,AEI Both + Micro 2026-02-12,broad,80.36,68182.05,5918717338.85,All 2026-02-18,broad,5.86,6251.97,507129493.13
Postmasters and Mail Superintendents,17.28,2386.38,221288647.70,AEI Both + Micro 2026-02-12,broad,62.17,8584.99,796086577.94,All 2026-02-18,broad,44.89,6198.62,574797930.25
Miscellaneous Physical Scientists,39.16,8842.54,1043065923.37,AEI Both + Micro 2026-02-12,broad,66.30,14970.68,1765941475.45,All 2026-02-18,broad,27.14,6128.14,722875552.08
Cost Estimators,56.37,123753.07,9537649137.43,AEI Both + Micro 2026-02-12,broad,59.14,129819.41,10005181864.55,All 2026-02-18,broad,2.76,6066.34,467532727.11
"Power Plant Operators, Distributors, and Dispatchers",17.04,8095.21,843763742.57,AEI Both + Micro 2026-02-12,broad,31.10,14099.35,1486043968.70,All 2026-02-18,broad,14.06,6004.14,642280226.14
"Butchers and Other Meat, Poultry, and Fish Processing Workers",39.41,142389.66,5485781139.36,AEI Both + Micro 2026-02-12,broad,40.56,148299.14,5716014816.02,All 2026-02-18,broad,1.14,5909.49,230233676.65
"Barbers, Hairdressers, Hairstylists and Cosmetologists",31.89,141750.27,5005256586.32,AEI Both + Micro 2026-02-12,broad,35.76,147626.47,5216909079.94,All 2026-02-18,broad,3.86,5876.20,211652493.62
Radio and Telecommunications Equipment Installers and Repairers,38.34,63866.71,4006509733.40,AEI Both + Micro 2026-02-12,broad,41.50,69700.62,4372106910.82,All 2026-02-18,broad,3.16,5833.91,365597177.42
Biological Scientists,54.42,72585.04,6763825378.27,AEI Both + Micro 2026-02-12,broad,59.20,78406.35,7298957146.75,All 2026-02-18,broad,4.78,5821.31,535131768.48
Aircraft Mechanics and Service Technicians,14.03,19133.35,1505412240.17,AEI Both + Micro 2026-02-12,broad,18.25,24884.75,1957931943.42,All 2026-02-18,broad,4.22,5751.39,452519703.25
Chemists and Materials Scientists,57.20,54229.90,4653920398.28,AEI Both + Micro 2026-02-12,broad,61.53,59878.99,5132012913.65,All 2026-02-18,broad,4.32,5649.09,478092515.37
Control and Valve Installers and Repairers,17.25,14525.49,1009650231.25,AEI Both + Micro 2026-02-12,broad,25.65,20026.51,1345925363.33,All 2026-02-18,broad,8.40,5501.02,336275132.08
Aerospace Engineers,27.46,18790.65,2533543715.63,AEI Both + Micro 2026-02-12,broad,35.39,24218.57,3265389996.78,All 2026-02-18,broad,7.93,5427.92,731846281.15
Miscellaneous Financial Specialists,73.94,102570.39,8225119876.53,AEI Both + Micro 2026-02-12,broad,82.95,107962.74,8657532499.86,All 2026-02-18,broad,9.02,5392.35,432412623.33
Personal Service Managers,38.05,6982.38,468244375.75,AEI Both + Micro 2026-02-12,broad,65.44,12309.80,833900814.86,All 2026-02-18,broad,27.39,5327.43,365656439.11
Miscellaneous Metal Workers and Plastic Workers,17.77,9817.36,455451132.36,AEI Both + Micro 2026-02-12,broad,26.72,15023.72,688449301.05,All 2026-02-18,broad,8.96,5206.37,232998168.69
Computer Hardware Engineers,54.59,41333.21,6407474726.49,AEI Both + Micro 2026-02-12,broad,61.46,46532.55,7213476204.73,All 2026-02-18,broad,6.87,5199.34,806001478.24
Miscellaneous Media and Communication Workers,54.81,48899.53,2925878038.92,AEI Both + Micro 2026-02-12,broad,73.10,54002.16,3266614306.27,All 2026-02-18,broad,18.29,5102.63,340736267.36
"Textile Machine Setters, Operators, and Tenders",13.28,5724.86,216732245.99,AEI Both + Micro 2026-02-12,broad,23.40,10816.94,408906433.78,All 2026-02-18,broad,10.12,5092.08,192174187.79
Social Science Research Assistants,53.47,17611.60,1022177256.98,AEI Both + Micro 2026-02-12,broad,68.89,22691.02,1316986928.41,All 2026-02-18,broad,15.42,5079.42,294809671.42
Brokerage Clerks,71.34,28602.14,1800218831.48,AEI Both + Micro 2026-02-12,broad,83.73,33567.86,2112761070.37,All 2026-02-18,broad,12.39,4965.72,312542238.89
"Social Sciences Teachers, Postsecondary",76.00,79317.51,7099347233.14,AEI Both + Micro 2026-02-12,broad,81.41,84266.77,7538654363.31,All 2026-02-18,broad,5.42,4949.25,439307130.17
Environmental Science and Geoscience Technicians,23.55,15259.47,764298739.08,AEI Both + Micro 2026-02-12,broad,35.85,20188.11,1013023725.58,All 2026-02-18,broad,12.30,4928.64,248724986.50
Lodging Managers,56.23,23250.77,1584074854.54,AEI Both + Micro 2026-02-12,broad,67.79,28033.03,1909890175.62,All 2026-02-18,broad,11.57,4782.26,325815321.08
Photographers,60.56,31023.68,1319126934.42,AEI Both + Micro 2026-02-12,broad,69.88,35797.01,1522088770.89,All 2026-02-18,broad,9.32,4773.33,202961836.47
Precision Instrument and Equipment Repairers,27.74,25212.66,1541231515.22,AEI Both + Micro 2026-02-12,broad,30.11,29983.58,1839952158.47,All 2026-02-18,broad,2.37,4770.92,298720643.25
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,9026.10,541114488.69,AEI Both + Micro 2026-02-12,broad,38.03,13789.80,826698553.19,All 2026-02-18,broad,13.14,4763.70,285584064.50
Stationary Engineers and Boiler Operators,20.10,6186.23,465142917.37,AEI Both + Micro 2026-02-12,broad,35.57,10948.94,823250727.73,All 2026-02-18,broad,15.47,4762.71,358107810.36
Procurement Clerks,69.39,41564.85,2016310849.08,AEI Both + Micro 2026-02-12,broad,77.32,46315.56,2246767785.28,All 2026-02-18,broad,7.93,4750.71,230456936.20
Physician Assistants,33.75,61764.45,8230730057.16,AEI Both + Micro 2026-02-12,broad,38.30,66474.13,8858342105.51,All 2026-02-18,broad,4.56,4709.68,627612048.34
Small Engine Mechanics,18.45,12834.74,625963651.45,AEI Both + Micro 2026-02-12,broad,23.07,17481.78,842507568.49,All 2026-02-18,broad,4.62,4647.03,216543917.04
Training and Development Specialists,60.20,262836.61,17307790638.08,AEI Both + Micro 2026-02-12,broad,61.26,267473.20,17613110192.61,All 2026-02-18,broad,1.06,4636.59,305319554.53
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",11.95,6040.14,368974153.89,AEI Both + Micro 2026-02-12,broad,18.00,10550.25,638882509.59,All 2026-02-18,broad,6.05,4510.11,269908355.70
Operations Research Analysts,70.69,76177.41,6954235988.85,AEI Both + Micro 2026-02-12,broad,74.82,80626.55,7360398199.47,All 2026-02-18,broad,4.13,4449.14,406162210.62
Budget Analysts,53.93,25440.97,2237024705.43,AEI Both + Micro 2026-02-12,broad,63.33,29873.85,2626807697.01,All 2026-02-18,broad,9.40,4432.88,389782991.57
Hazardous Materials Removal Workers,9.12,4614.05,223735080.38,AEI Both + Micro 2026-02-12,broad,17.84,9023.42,437545481.69,All 2026-02-18,broad,8.72,4409.37,213810401.30
Gambling Services Workers,44.48,42292.68,1398673241.90,AEI Both + Micro 2026-02-12,broad,51.21,46643.78,1541421791.27,All 2026-02-18,broad,6.72,4351.10,142748549.37
Artists and Related Workers,59.33,50064.08,4908423426.88,AEI Both + Micro 2026-02-12,broad,65.27,54274.07,5307918576.81,All 2026-02-18,broad,5.94,4209.99,399495149.93
Miscellaneous Health Practitioners and Technical Workers,24.21,24066.46,1558211874.90,AEI Both + Micro 2026-02-12,broad,28.57,28226.06,1825723315.97,All 2026-02-18,broad,4.36,4159.61,267511441.07
"Life Sciences Teachers, Postsecondary",74.57,47364.91,3988798156.03,AEI Both + Micro 2026-02-12,broad,80.99,51511.55,4337796075.08,All 2026-02-18,broad,6.42,4146.64,348997919.05
Statisticians,69.01,20040.59,2070193319.86,AEI Both + Micro 2026-02-12,broad,82.41,24133.75,2493016780.03,All 2026-02-18,broad,13.41,4093.16,422823460.17
Semiconductor Processing Technicians,20.76,6675.18,341635865.47,AEI Both + Micro 2026-02-12,broad,33.29,10703.53,547806755.41,All 2026-02-18,broad,12.53,4028.35,206170889.94
Conveyor Operators and Tenders,20.08,5232.64,215741822.40,AEI Both + Micro 2026-02-12,broad,35.52,9256.91,381662340.55,All 2026-02-18,broad,15.44,4024.27,165920518.16
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,2324.66,137921987.11,AEI Both + Micro 2026-02-12,broad,21.46,6338.33,376053329.01,All 2026-02-18,broad,13.59,4013.68,238131341.89
"Physical Sciences Teachers, Postsecondary",70.57,36978.84,3430258200.64,AEI Both + Micro 2026-02-12,broad,78.09,40848.68,3790241074.80,All 2026-02-18,broad,7.52,3869.84,359982874.16
Home Appliance Repairers,27.39,8746.85,432181652.16,AEI Both + Micro 2026-02-12,broad,38.87,12416.47,613497956.80,All 2026-02-18,broad,11.49,3669.63,181316304.63
Tour and Travel Guides,41.66,21318.12,781522247.53,AEI Both + Micro 2026-02-12,broad,48.85,24888.01,912394475.97,All 2026-02-18,broad,7.20,3569.89,130872228.44
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",25.77,4164.06,195752602.55,AEI Both + Micro 2026-02-12,broad,47.31,7645.96,359436451.21,All 2026-02-18,broad,21.55,3481.89,163683848.66
Miscellaneous Legal Support Workers,66.18,31880.07,1752766373.91,AEI Both + Micro 2026-02-12,broad,73.31,35311.83,1941444337.62,All 2026-02-18,broad,7.12,3431.76,188677963.71
Agricultural and Food Science Technicians,34.22,8836.41,419620559.04,AEI Both + Micro 2026-02-12,broad,48.05,12260.01,581350202.64,All 2026-02-18,broad,13.83,3423.60,161729643.60
Sales Engineers,72.01,40822.69,4960773261.81,AEI Both + Micro 2026-02-12,broad,78.04,44238.08,5375811790.97,All 2026-02-18,broad,6.02,3415.39,415038529.16
