category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
Surgical Technologists,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Tile and Stone Setters,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Tank Car, Truck, and Ship Loaders",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Tapers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Butchers and Meat Cutters,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Cabinetmakers and Bench Carpenters,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Calibration Technologists and Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Tire Builders,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Biomass Plant Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Morticians, Undertakers, and Funeral Arrangers",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Motion Picture Projectionists,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Motorboat Mechanics and Service Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Motorboat Operators,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Motorcycle Mechanics,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Museum Technicians and Conservators,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Correctional Officers and Jailers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Blockchain Engineers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Bridge and Lock Tenders,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Merchandise Displayers and Window Trimmers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Metal-Refining Furnace Operators and Tenders,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Millwrights,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Mining and Geological Engineers, Including Mining Safety Engineers",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Captains, Mates, and Pilots of Water Vessels",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Cardiologists,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Biofuels/Biodiesel Technology and Product Development Managers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Tire Repairers and Changers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Tool Grinders, Filers, and Sharpeners",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Traffic Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Transit and Railroad Police,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Transportation Inspectors,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Brownfield Redevelopment Specialists and Site Managers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Audiologists,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Automotive Body and Related Repairers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Automotive Glass Installers and Repairers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Aviation Inspectors,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Avionics Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Bakers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Adhesive Bonding Machine Operators and Tenders,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Bus Drivers, School",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Bus Drivers, Transit and Intercity",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Model Makers, Metal and Plastic",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Bicycle Repairers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Appraisers of Personal and Business Property,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Biofuels Production Managers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Aircraft Mechanics and Service Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Aircraft Service Attendants,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Anesthesiologist Assistants,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Medical Appliance Technicians,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Animal Breeders,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Animal Scientists,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Tree Trimmers and Pruners,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
"Umpires, Referees, and Other Sports Officials",agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Upholsterers,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Agricultural Equipment Operators,agentic_confirmed,Agentic Confirmed,0.00,0.00,0.00
Cashiers,mcp_only,MCP Only,60.59,1907493.40,59494719157.49
Retail Salespersons,mcp_only,MCP Only,47.68,1812052.01,62660758379.73
Customer Service Representatives,mcp_only,MCP Only,63.99,1744264.27,74706838530.32
"Office Clerks, General",mcp_only,MCP Only,69.41,1742511.99,76025798038.70
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",mcp_only,MCP Only,77.01,1338213.46,61945901206.75
General and Operations Managers,mcp_only,MCP Only,37.07,1328904.46,136810713647.61
Stockers and Order Fillers,mcp_only,MCP Only,37.83,1051611.16,39004257997.53
"Bookkeeping, Accounting, and Auditing Clerks",mcp_only,MCP Only,68.48,996972.88,49061035231.09
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",mcp_only,MCP Only,70.78,841861.18,55781721733.61
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",mcp_only,MCP Only,57.31,726080.41,48487649795.25
Receptionists and Information Clerks,mcp_only,MCP Only,69.52,670537.43,24964108444.71
Waiters and Waitresses,mcp_only,MCP Only,27.89,642157.76,21679245878.32
Medical Secretaries and Administrative Assistants,mcp_only,MCP Only,69.94,581031.93,25937265204.99
First-Line Supervisors of Office and Administrative Support Workers,mcp_only,MCP Only,36.39,544312.32,36000817073.85
Human Resources Specialists,mcp_only,MCP Only,59.13,542505.69,39554089721.79
Software Quality Assurance Analysts and Testers,mcp_only,MCP Only,72.37,525357.88,59696975275.34
Accountants and Auditors,mcp_only,MCP Only,35.32,511491.99,41778665983.51
"Laborers and Freight, Stock, and Material Movers, Hand",mcp_only,MCP Only,16.64,496319.30,19326673353.06
Computer User Support Specialists,mcp_only,MCP Only,64.81,451882.47,27266588013.48
Software Developers,mcp_only,MCP Only,59.94,435119.70,49443114504.17
First-Line Supervisors of Retail Sales Workers,mcp_only,MCP Only,37.26,414772.69,19627043682.34
Recycling and Reclamation Workers,mcp_only,MCP Only,13.56,404313.00,15743948050.03
Baristas,mcp_only,MCP Only,20.14,398089.64,12133772094.47
Security Guards,mcp_only,MCP Only,31.52,391407.28,15018297160.40
Heavy and Tractor-Trailer Truck Drivers,mcp_only,MCP Only,18.81,389553.02,22375925233.18
"Shipping, Receiving, and Inventory Clerks",mcp_only,MCP Only,41.24,353699.02,15276260667.95
Personal Care Aides,mcp_only,MCP Only,17.40,346905.18,12106990630.15
First-Line Supervisors of Food Preparation and Serving Workers,mcp_only,MCP Only,28.99,344256.29,14462206897.86
Management Analysts,mcp_only,MCP Only,35.26,315158.12,31890849715.94
Executive Secretaries and Executive Administrative Assistants,mcp_only,MCP Only,66.64,315041.78,23395002369.30
"Securities, Commodities, and Financial Services Sales Agents",mcp_only,MCP Only,65.04,307200.29,24004630300.06
Computer and Information Systems Managers,mcp_only,MCP Only,45.80,295832.41,50646508088.25
Investment Fund Managers,mcp_only,MCP Only,56.88,291880.62,47197096625.78
Computer Systems Analysts,mcp_only,MCP Only,69.13,278895.09,28946521129.61
Online Merchants,mcp_only,MCP Only,87.39,276526.67,22473322357.07
Project Management Specialists,mcp_only,MCP Only,49.30,276426.86,24856452274.03
Fast Food and Counter Workers,mcp_only,MCP Only,15.08,272144.97,8294978778.45
"Elementary School Teachers, Except Special Education",mcp_only,MCP Only,19.18,267216.83,16658296881.60
Billing and Posting Clerks,mcp_only,MCP Only,63.66,265793.00,12537455612.34
Market Research Analysts and Marketing Specialists,mcp_only,MCP Only,60.74,261530.66,20124784343.03
Medical Assistants,mcp_only,MCP Only,32.13,254910.84,11267059243.18
"Entertainment and Recreation Managers, Except Gambling",mcp_only,MCP Only,44.57,249934.71,22474263987.98
Counter and Rental Clerks,mcp_only,MCP Only,62.68,249840.21,9628841826.89
Network and Computer Systems Administrators,mcp_only,MCP Only,77.95,248316.36,24037023293.48
Search Marketing Strategists,mcp_only,MCP Only,57.46,247416.52,19038701258.05
Pharmacy Technicians,mcp_only,MCP Only,48.54,236852.67,10293616826.78
Industrial Truck and Tractor Operators,mcp_only,MCP Only,29.31,236172.80,10956056407.21
"Secondary School Teachers, Except Special and Career/Technical Education",mcp_only,MCP Only,20.23,216980.63,14012609101.38
Tellers,mcp_only,MCP Only,63.08,214056.73,8420991720.67
Light Truck Drivers,mcp_only,MCP Only,20.51,203946.84,9002213581.89
Medical and Health Services Managers,mcp_only,MCP Only,35.81,202635.70,23902907073.25
Marketing Managers,mcp_only,MCP Only,47.08,181250.74,29186806268.59
Insurance Sales Agents,mcp_only,MCP Only,36.68,172210.40,10396341869.68
First-Line Supervisors of Production and Operating Workers,mcp_only,MCP Only,25.05,171635.22,12218711487.99
Advanced Practice Psychiatric Nurses,mcp_only,MCP Only,16.00,165061.98,15449801149.78
"Production, Planning, and Expediting Clerks",mcp_only,MCP Only,40.78,157021.35,9071123628.75
Paralegals and Legal Assistants,mcp_only,MCP Only,42.58,156358.70,9539443991.66
Driver/Sales Workers,mcp_only,MCP Only,36.86,153856.17,5712679435.17
"Cooks, Restaurant",mcp_only,MCP Only,10.46,151860.80,5593033292.56
Insurance Claims and Policy Processing Clerks,mcp_only,MCP Only,66.20,151643.60,7347132334.21
Graphic Designers,mcp_only,MCP Only,68.45,146652.91,8989823671.56
Sales Managers,mcp_only,MCP Only,23.83,143881.13,19864228742.95
"Substitute Teachers, Short-Term",mcp_only,MCP Only,29.67,142811.54,5493959844.23
Amusement and Recreation Attendants,mcp_only,MCP Only,38.31,142366.34,4340749588.48
Parts Salespersons,mcp_only,MCP Only,53.34,141380.02,5293267762.51
Nursing Assistants,mcp_only,MCP Only,10.03,139195.20,5502386101.40
Web Administrators,mcp_only,MCP Only,72.88,137983.17,15036025554.38
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",mcp_only,MCP Only,57.82,136591.51,13668712440.57
Lawyers,mcp_only,MCP Only,17.71,132408.13,20014813407.87
"Middle School Teachers, Except Special and Career/Technical Education",mcp_only,MCP Only,21.29,132060.02,8315819593.87
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",mcp_only,MCP Only,30.32,129490.84,3933931575.55
Personal Financial Advisors,mcp_only,MCP Only,47.82,129355.19,13212339323.07
"Dispatchers, Except Police, Fire, and Ambulance",mcp_only,MCP Only,59.45,125442.39,6131624070.49
Security Management Specialists,mcp_only,MCP Only,25.84,124802.00,10142658260.37
Licensed Practical and Licensed Vocational Nurses,mcp_only,MCP Only,19.58,123830.25,7719577608.82
"Hotel, Motel, and Resort Desk Clerks",mcp_only,MCP Only,47.35,123778.26,4241881037.66
Public Relations Specialists,mcp_only,MCP Only,43.85,123040.02,8585732807.21
Information Security Analysts,mcp_only,MCP Only,67.59,121280.87,15149193280.43
Computer Network Support Specialists,mcp_only,MCP Only,80.99,118606.42,8698594732.72
Automotive Service Technicians and Mechanics,mcp_only,MCP Only,16.32,112433.14,5584553867.70
Postal Service Mail Carriers,mcp_only,MCP Only,33.32,111966.35,6436945337.49
Treasurers and Controllers,mcp_only,MCP Only,39.04,111884.36,18091700610.47
Computer Systems Engineers/Architects,mcp_only,MCP Only,57.11,111720.67,12174201519.86
Legal Secretaries and Administrative Assistants,mcp_only,MCP Only,71.74,110872.51,6002637848.32
"First-Line Supervisors of Mechanics, Installers, and Repairers",mcp_only,MCP Only,18.13,108914.58,8528011794.20
Loan Officers,mcp_only,MCP Only,36.59,106301.93,7885476905.85
Landscaping and Groundskeeping Workers,mcp_only,MCP Only,11.10,104735.72,3989383695.32
Financial and Investment Analysts,mcp_only,MCP Only,55.12,103796.64,10778354567.88
Financial Risk Specialists,mcp_only,MCP Only,54.79,103168.56,10713133497.81
"Court, Municipal, and License Clerks",mcp_only,MCP Only,60.21,102355.73,4882368371.38
Customs and Border Protection Officers,mcp_only,MCP Only,19.20,101570.14,7748786127.52
Team Assemblers,mcp_only,MCP Only,13.78,100464.42,4240603008.71
"Property, Real Estate, and Community Association Managers",mcp_only,MCP Only,33.22,98558.20,6573831719.73
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",mcp_only,MCP Only,4.46,98020.60,3521880088.02
Payroll and Timekeeping Clerks,mcp_only,MCP Only,61.57,96631.68,5342765797.44
Recreation Workers,mcp_only,MCP Only,31.07,96204.26,3403706850.51
"Child, Family, and School Social Workers",mcp_only,MCP Only,24.99,95699.80,5605137128.11
Data Entry Keyers,mcp_only,MCP Only,70.30,95099.98,3789734046.75
Bartenders,mcp_only,MCP Only,12.71,94770.19,3177644355.74
Clinical Nurse Specialists,mcp_only,MCP Only,11.75,92216.81,8631493486.04
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",mcp_only,MCP Only,56.51,91717.58,6938434820.01
Loan Interviewers and Clerks,mcp_only,MCP Only,52.36,90636.67,4436665097.99
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",mcp_only,MCP Only,23.12,88434.28,3143838644.46
Electricians,mcp_only,MCP Only,11.74,87180.04,5435675332.58
Document Management Specialists,mcp_only,MCP Only,70.09,87033.34,9484022949.11
Real Estate Sales Agents,mcp_only,MCP Only,45.65,87007.99,4900290151.86
"Maintenance and Repair Workers, General",mcp_only,MCP Only,5.63,86269.78,4194436555.12
Cost Estimators,mcp_only,MCP Only,38.67,84884.43,6542042965.96
"Inspectors, Testers, Sorters, Samplers, and Weighers",mcp_only,MCP Only,14.21,84004.04,3986831778.08
Business Intelligence Analysts,mcp_only,MCP Only,68.08,83371.82,9386832670.08
Training and Development Specialists,mcp_only,MCP Only,18.81,82136.29,5408674739.78
"Interviewers, Except Eligibility and Loan",mcp_only,MCP Only,52.12,81993.92,3593793723.26
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",mcp_only,MCP Only,20.62,81821.27,4893730252.85
Food Preparation Workers,mcp_only,MCP Only,9.19,81675.97,2794951822.14
Industrial Machinery Mechanics,mcp_only,MCP Only,19.31,81484.28,5195437464.30
Social and Human Service Assistants,mcp_only,MCP Only,19.20,81441.52,3674641501.12
Computer Programmers,mcp_only,MCP Only,73.46,80709.85,7963640577.10
Packaging and Filling Machine Operators and Tenders,mcp_only,MCP Only,20.51,78730.94,3220095316.83
"Teaching Assistants, Special Education",mcp_only,MCP Only,20.56,78672.47,2796806427.69
"Eligibility Interviewers, Government Programs",mcp_only,MCP Only,50.05,78212.29,4027933088.97
First-Line Supervisors of Non-Retail Sales Workers,mcp_only,MCP Only,35.50,77743.76,6540582148.07
Business Continuity Planners,mcp_only,MCP Only,35.68,77531.27,6300966157.85
"Claims Adjusters, Examiners, and Investigators",mcp_only,MCP Only,25.23,76970.51,5910565640.43
"Education Administrators, Kindergarten through Secondary",mcp_only,MCP Only,23.95,76538.16,7965326664.95
Food Service Managers,mcp_only,MCP Only,31.19,76180.98,4975379712.97
"Cooks, Fast Food",mcp_only,MCP Only,11.27,75302.27,2271116314.99
Construction Managers,mcp_only,MCP Only,21.59,75207.01,8045646297.27
Reservation and Transportation Ticket Agents and Travel Clerks,mcp_only,MCP Only,58.43,74467.66,3087429337.68
Pharmacists,mcp_only,MCP Only,22.41,73703.82,10132801274.78
"Educational, Guidance, and Career Counselors and Advisors",mcp_only,MCP Only,21.00,71902.26,4683713392.05
Medical Records Specialists,mcp_only,MCP Only,62.50,71898.13,4207587395.46
Home Health Aides,mcp_only,MCP Only,3.59,71550.27,2497104515.99
Bill and Account Collectors,mcp_only,MCP Only,42.83,70685.17,3254345386.77
Administrative Services Managers,mcp_only,MCP Only,37.83,69800.55,7467719958.87
Carpenters,mcp_only,MCP Only,9.98,69626.12,4129524949.15
"Hairdressers, Hairstylists, and Cosmetologists",mcp_only,MCP Only,23.10,68244.55,2405620289.27
First-Line Supervisors of Construction Trades and Extraction Workers,mcp_only,MCP Only,14.05,67878.15,5341331378.51
Electrical Engineers,mcp_only,MCP Only,35.46,66936.27,7490838152.14
Human Resources Managers,mcp_only,MCP Only,31.01,66828.67,9358018911.29
Facilities Managers,mcp_only,MCP Only,36.06,66535.25,7118376888.79
"Cooks, Institution and Cafeteria",mcp_only,MCP Only,14.76,66177.68,2412176498.98
Self-Enrichment Teachers,mcp_only,MCP Only,20.80,64182.70,2926089318.59
Computer Numerically Controlled Tool Operators,mcp_only,MCP Only,35.75,63260.26,3161115193.24
Animal Caretakers,mcp_only,MCP Only,22.69,62907.27,2105506320.58
"Buyers and Purchasing Agents, Farm Products",mcp_only,MCP Only,38.69,62790.64,4750112057.85
Architectural and Engineering Managers,mcp_only,MCP Only,35.92,61817.31,10369236203.58
Architectural and Civil Drafters,mcp_only,MCP Only,56.15,61507.49,3953701264.84
"Wholesale and Retail Buyers, Except Farm Products",mcp_only,MCP Only,36.91,59905.59,4531857798.83
Telemarketers,mcp_only,MCP Only,90.13,59873.40,2060243801.92
Geographic Information Systems Technologists and Technicians,mcp_only,MCP Only,69.13,59618.30,6496606455.96
Health Information Technologists and Medical Registrars,mcp_only,MCP Only,51.21,58907.95,3447382214.00
Clinical Data Managers,mcp_only,MCP Only,56.12,58410.72,6576462894.41
Coaches and Scouts,mcp_only,MCP Only,23.26,58359.87,2679885204.05
Operations Research Analysts,mcp_only,MCP Only,53.64,57798.04,5276383049.65
Regulatory Affairs Managers,mcp_only,MCP Only,29.56,57508.49,7852784285.60
"Human Resources Assistants, Except Payroll and Timekeeping",mcp_only,MCP Only,61.41,56849.70,2810648997.07
Web Developers,mcp_only,MCP Only,84.64,56781.18,5369834636.05
"Packers and Packagers, Hand",mcp_only,MCP Only,9.42,56662.36,2016046760.23
Instructional Coordinators,mcp_only,MCP Only,26.87,56657.92,4233479557.74
Financial Quantitative Analysts,mcp_only,MCP Only,60.74,56636.89,4541712445.70
"Health Specialties Teachers, Postsecondary",mcp_only,MCP Only,24.34,55911.74,5905397539.61
Librarians and Media Collections Specialists,mcp_only,MCP Only,42.35,55832.74,3591161745.80
"Preschool Teachers, Except Special Education",mcp_only,MCP Only,12.51,55692.38,2067301176.13
Merchandise Displayers and Window Trimmers,mcp_only,MCP Only,28.69,55219.78,2062458619.41
Tutors,mcp_only,MCP Only,31.58,55151.90,2211039857.80
Supply Chain Managers,mcp_only,MCP Only,36.68,54412.76,5550645934.40
Critical Care Nurses,mcp_only,MCP Only,8.15,54262.57,5078976096.89
Acute Care Nurses,mcp_only,MCP Only,10.95,54228.76,5075811794.84
Nurse Practitioners,mcp_only,MCP Only,17.48,53717.71,6940864903.27
Maids and Housekeeping Cleaners,mcp_only,MCP Only,6.15,52560.59,1821750064.25
Health Informatics Specialists,mcp_only,MCP Only,55.61,52482.74,5447183623.26
Public Safety Telecommunicators,mcp_only,MCP Only,51.57,52157.32,2645940620.00
Computer Network Architects,mcp_only,MCP Only,53.39,51535.74,6719744797.68
Bakers,mcp_only,MCP Only,22.22,51523.92,1888351663.83
"Architects, Except Landscape and Naval",mcp_only,MCP Only,45.89,51003.13,4931492685.32
Advertising Sales Agents,mcp_only,MCP Only,52.27,50948.91,3131319920.99
Dental Assistants,mcp_only,MCP Only,13.49,50656.12,2396034682.98
Web and Digital Interface Designers,mcp_only,MCP Only,75.23,50469.34,4772919345.34
Dining Room and Cafeteria Attendants and Bartender Helpers,mcp_only,MCP Only,9.62,50231.50,1641063082.79
Machinists,mcp_only,MCP Only,16.50,49301.50,2768278976.26
Chief Executives,mcp_only,MCP Only,28.53,49199.89,10155840873.02
Shuttle Drivers and Chauffeurs,mcp_only,MCP Only,16.58,48434.73,1974672546.64
Correctional Officers and Jailers,mcp_only,MCP Only,13.12,47949.70,2779644360.59
Telecommunications Engineering Specialists,mcp_only,MCP Only,58.22,46862.64,6110419714.06
Radiologic Technologists and Technicians,mcp_only,MCP Only,20.83,46540.68,3614349243.27
Regulatory Affairs Specialists,mcp_only,MCP Only,44.95,45427.24,3562403785.65
Automotive Engineers,mcp_only,MCP Only,32.03,45199.89,4624852470.16
Solar Energy Installation Managers,mcp_only,MCP Only,13.91,44907.78,3533792889.48
Logistics Analysts,mcp_only,MCP Only,56.81,43926.23,3552753274.98
Order Clerks,mcp_only,MCP Only,52.42,43726.73,1952835616.42
"Education Administrators, Postsecondary",mcp_only,MCP Only,24.56,43322.09,4503764093.08
Credit Analysts,mcp_only,MCP Only,64.00,43117.22,3491201175.67
"Teaching Assistants, Postsecondary",mcp_only,MCP Only,27.69,42919.58,1928376691.50
File Clerks,mcp_only,MCP Only,53.04,41890.03,1728801714.20
Mental Health Counselors,mcp_only,MCP Only,25.60,41428.99,2494025369.16
"Ushers, Lobby Attendants, and Ticket Takers",mcp_only,MCP Only,34.44,41050.09,1278710186.98
Insurance Underwriters,mcp_only,MCP Only,38.00,40969.40,3272635735.64
Loss Prevention Managers,mcp_only,MCP Only,24.89,40854.07,5578623135.85
"Meeting, Convention, and Event Planners",mcp_only,MCP Only,29.71,40015.19,2378503031.82
Social and Community Service Managers,mcp_only,MCP Only,20.46,39992.00,3128973853.89
Tax Preparers,mcp_only,MCP Only,54.21,39883.92,2016531142.88
Exercise Trainers and Group Fitness Instructors,mcp_only,MCP Only,12.99,39437.13,1821206774.05
Registered Nurses,mcp_only,MCP Only,12.94,39424.42,3690125989.20
Editors,mcp_only,MCP Only,41.10,39242.22,2953369689.08
"Food Servers, Nonrestaurant",mcp_only,MCP Only,14.41,39164.94,1349623783.18
Compliance Managers,mcp_only,MCP Only,33.09,38636.69,5275839956.35
First-Line Supervisors of Police and Detectives,mcp_only,MCP Only,25.06,38367.08,4066143041.73
Helpers--Production Workers,mcp_only,MCP Only,22.75,38096.27,1456039460.88
"Bus Drivers, School",mcp_only,MCP Only,12.83,37505.02,1529070798.45
Logistics Engineers,mcp_only,MCP Only,41.86,37197.46,3008530306.59
Civil Engineers,mcp_only,MCP Only,31.35,37137.16,3698489781.68
Gambling Dealers,mcp_only,MCP Only,44.68,37074.07,1233824981.30
Physical Therapists,mcp_only,MCP Only,14.77,36728.23,3710285458.61
Customs Brokers,mcp_only,MCP Only,42.34,36309.92,2847423713.77
"Bus Drivers, Transit and Intercity",mcp_only,MCP Only,24.26,36140.57,2075914190.06
"Medical Scientists, Except Epidemiologists",mcp_only,MCP Only,23.10,36100.72,3631371760.23
Transportation Engineers,mcp_only,MCP Only,30.31,35903.12,3575591269.94
Childcare Workers,mcp_only,MCP Only,10.08,35688.32,1143810733.43
Occupational Health and Safety Specialists,mcp_only,MCP Only,27.64,35501.42,2978924504.45
Database Administrators,mcp_only,MCP Only,71.03,35131.14,4315950504.80
Fundraisers,mcp_only,MCP Only,32.85,34797.30,2313672365.94
Postal Service Clerks,mcp_only,MCP Only,44.32,34596.50,2132182227.37
"Compensation, Benefits, and Job Analysis Specialists",mcp_only,MCP Only,33.34,34130.39,2628722335.33
Water/Wastewater Engineers,mcp_only,MCP Only,28.70,33995.15,3385576507.43
Printing Press Operators,mcp_only,MCP Only,23.34,33875.47,1529816116.36
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",mcp_only,MCP Only,29.41,32923.71,1861177085.84
Freight Forwarders,mcp_only,MCP Only,48.29,32588.07,1626144592.65
"Library Assistants, Clerical",mcp_only,MCP Only,40.52,32446.39,1168394380.10
Library Technicians,mcp_only,MCP Only,43.32,31957.87,1277356260.11
Geothermal Technicians,mcp_only,MCP Only,17.20,31593.69,1536717064.57
Database Architects,mcp_only,MCP Only,63.08,31202.85,3833350341.37
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",mcp_only,MCP Only,28.97,31200.90,1626735381.75
Validation Engineers,mcp_only,MCP Only,34.87,30535.13,3088323228.02
Mechanical Engineers,mcp_only,MCP Only,30.42,30237.96,3093948003.42
Biological Technicians,mcp_only,MCP Only,39.53,30120.52,1566266924.94
Travel Agents,mcp_only,MCP Only,50.57,29914.81,1449372420.27
Mental Health and Substance Abuse Social Workers,mcp_only,MCP Only,23.58,29684.51,1782851640.66
Concierges,mcp_only,MCP Only,66.62,29445.73,1098914724.95
Speech-Language Pathologists,mcp_only,MCP Only,16.38,29291.78,2794729147.43
Solar Sales Representatives and Assessors,mcp_only,MCP Only,50.67,29236.65,2925711684.75
Manufacturing Engineers,mcp_only,MCP Only,33.26,29123.45,2945546178.56
Word Processors and Typists,mcp_only,MCP Only,79.15,28516.44,1364511563.82
Electrical and Electronic Engineering Technologists and Technicians,mcp_only,MCP Only,30.75,28504.23,2199956410.74
Industrial Engineers,mcp_only,MCP Only,32.03,28045.25,2836496940.70
Purchasing Managers,mcp_only,MCP Only,34.26,27835.58,3883341757.09
First-Line Supervisors of Housekeeping and Janitorial Workers,mcp_only,MCP Only,15.87,27724.27,1317457369.41
Food Batchmakers,mcp_only,MCP Only,16.08,27596.40,1125657117.34
Rehabilitation Counselors,mcp_only,MCP Only,30.75,27346.32,1260938769.13
Dental Hygienists,mcp_only,MCP Only,12.47,27315.67,2574774757.71
Audio and Video Technicians,mcp_only,MCP Only,38.90,27260.51,1494693518.36
Information Technology Project Managers,mcp_only,MCP Only,58.82,27159.78,2959601099.74
Healthcare Social Workers,mcp_only,MCP Only,14.60,27149.84,1848632549.59
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",mcp_only,MCP Only,21.72,26965.42,1514647674.01
Technical Writers,mcp_only,MCP Only,48.55,26957.77,2471218921.09
Operating Engineers and Other Construction Equipment Operators,mcp_only,MCP Only,5.71,26790.36,1572861747.81
First-Line Supervisors of Personal Service Workers,mcp_only,MCP Only,24.84,26757.33,1395058905.86
Intelligence Analysts,mcp_only,MCP Only,35.94,26627.33,2491785799.37
Video Game Designers,mcp_only,MCP Only,47.48,26448.57,2594340133.48
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,mcp_only,MCP Only,21.38,26331.34,1629909971.12
Procurement Clerks,mcp_only,MCP Only,43.90,26296.58,1275647263.00
Patient Representatives,mcp_only,MCP Only,22.41,26251.50,1280810828.65
Remote Sensing Technicians,mcp_only,MCP Only,51.44,26000.13,1563387832.75
Demonstrators and Product Promoters,mcp_only,MCP Only,40.14,25996.42,986823939.75
"Career/Technical Education Teachers, Postsecondary",mcp_only,MCP Only,23.31,25906.87,1593013226.49
First-Line Supervisors of Security Workers,mcp_only,MCP Only,36.73,25824.37,1513566336.95
Medical Transcriptionists,mcp_only,MCP Only,59.29,25535.24,958848353.23
New Accounts Clerks,mcp_only,MCP Only,66.76,25389.05,1183383630.19
"Business Teachers, Postsecondary",mcp_only,MCP Only,30.99,25344.93,2465301436.49
